# bag_unix_ns,px4_us,x_north_m,y_east_m,z_down_m,vx_mps,vy_mps,vz_mps
1.788595740519015424e+18,1.788595731159504000e+15,-3.907899931073188782e-02,1.647730544209480286e-02,-7.436394691467285156e-03,1.756086712703108788e-03,9.547172230668365955e-04,-4.213348496705293655e-03
1.788595740604988160e+18,1.788595731183504000e+15,-3.850737214088439941e-02,1.643585413694381714e-02,-7.791340351104736328e-03,2.168947597965598106e-03,8.495407528243958950e-04,-4.425760358572006226e-03
1.788595740609262080e+18,1.788595731199504000e+15,-3.811873868107795715e-02,1.637845672667026520e-02,-8.027151226997375488e-03,2.487654332071542740e-03,7.134807528927922249e-04,-4.447410348802804947e-03
1.788595740685527808e+18,1.788595731223504000e+15,-3.750917315483093262e-02,1.622853241860866547e-02,-8.385315537452697754e-03,3.024710807949304581e-03,5.265609361231327057e-04,-4.622455686330795288e-03
1.788595740743546624e+18,1.788595731239504000e+15,-3.710012137889862061e-02,1.610917970538139343e-02,-8.647978305816650391e-03,3.288254374638199806e-03,3.918121801689267159e-04,-4.735169466584920883e-03
1.788595740762481664e+18,1.788595731263504000e+15,-3.647960349917411804e-02,1.586753688752651215e-02,-9.022414684295654297e-03,3.646468278020620346e-03,1.538302458357065916e-04,-4.929574206471443176e-03
1.788595740846495232e+18,1.788595731279504000e+15,-3.607900440692901611e-02,1.571087352931499481e-02,-9.265959262847900391e-03,3.840125398710370064e-03,1.861496275523677468e-05,-5.069755483418703079e-03
1.788595740847412480e+18,1.788595731303504000e+15,-3.546512871980667114e-02,1.540805492550134659e-02,-9.622409939765930176e-03,4.249437712132930756e-03,-2.832891477737575769e-04,-5.333473905920982361e-03
1.788595740920555520e+18,1.788595731319504000e+15,-3.505664691329002380e-02,1.520174648612737656e-02,-9.836196899414062500e-03,4.586072638630867004e-03,-4.407840315252542496e-04,-5.455120466649532318e-03
1.788595740974042368e+18,1.788595731343504000e+15,-3.444515168666839600e-02,1.488725189119577408e-02,-1.011924445629119873e-02,4.990837071090936661e-03,-6.204721285030245781e-04,-5.544449668377637863e-03
1.788595740992591872e+18,1.788595731359504000e+15,-3.401625528931617737e-02,1.465100236237049103e-02,-1.028664410114288330e-02,5.215936806052923203e-03,-7.820033351890742779e-04,-5.697041284292936325e-03
1.788595741069970432e+18,1.788595731383504000e+15,-3.338017314672470093e-02,1.429209206253290176e-02,-1.052831113338470459e-02,5.602961871773004532e-03,-1.135932398028671741e-03,-5.894792266190052032e-03
1.788595741075389440e+18,1.788595731399504000e+15,-3.295326232910156250e-02,1.404233835637569427e-02,-1.067507266998291016e-02,5.905960686504840851e-03,-1.335008302703499794e-03,-5.838829092681407928e-03
1.788595741152653312e+18,1.788595731423504000e+15,-3.228413686156272888e-02,1.366434246301651001e-02,-1.088719069957733154e-02,6.356646772474050522e-03,-1.579674542881548405e-03,-5.946835037320852280e-03
1.788595741211670016e+18,1.788595731439504000e+15,-3.183603659272193909e-02,1.341558247804641724e-02,-1.103439927101135254e-02,6.532438565045595169e-03,-1.599371666088700294e-03,-6.104854866862297058e-03
